comment_id,ticket_id,author_id,author_type,comment_text,created_at
1,1,146,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-28 08:26:17.60549
2,2,30,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-02 04:26:17.60549
3,3,34,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-15 05:26:17.60549
4,4,94,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-01 04:26:17.60549
5,5,192,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-25 05:26:17.60549
6,6,132,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-03 04:26:17.60549
7,7,184,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-10 05:26:17.60549
8,8,95,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-29 05:26:17.60549
9,9,188,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-19 04:26:17.60549
10,10,116,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-03 05:26:17.60549
11,11,118,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-25 07:26:17.60549
12,12,83,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-02 03:26:17.60549
13,13,197,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-24 06:26:17.60549
14,14,25,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-05 06:26:17.60549
15,15,157,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-08 05:26:17.60549
16,16,122,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-05 08:26:17.60549
17,17,147,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-14 08:26:17.60549
18,18,156,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-22 05:26:17.60549
19,20,47,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-16 05:26:17.60549
20,21,51,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-03 07:26:17.60549
21,22,132,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-21 06:26:17.60549
22,23,154,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-10 06:26:17.60549
23,25,198,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-11 06:26:17.60549
24,26,193,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-18 05:26:17.60549
25,27,114,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-14 04:26:17.60549
26,28,88,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-19 04:26:17.60549
27,29,122,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-28 07:26:17.60549
28,30,167,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-26 05:26:17.60549
29,31,56,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-27 07:26:17.60549
30,32,51,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-29 03:26:17.60549
31,33,154,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-09 06:26:17.60549
32,34,154,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-18 08:26:17.60549
33,35,145,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-08 08:26:17.60549
34,36,169,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-27 04:26:17.60549
35,37,126,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-22 04:26:17.60549
36,38,83,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-17 07:26:17.60549
37,39,114,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-03 03:26:17.60549
38,40,3,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-24 04:26:17.60549
39,41,24,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-27 04:26:17.60549
40,42,48,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-23 07:26:17.60549
41,43,90,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-08 07:26:17.60549
42,44,107,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-09 08:26:17.60549
43,46,96,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-04 04:26:17.60549
44,47,1,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-11 07:26:17.60549
45,48,13,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-25 04:26:17.60549
46,49,193,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-02 07:26:17.60549
47,50,187,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-14 07:26:17.60549
48,51,147,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-27 04:26:17.60549
49,52,193,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-10 04:26:17.60549
50,53,87,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-08 03:26:17.60549
51,54,156,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-25 05:26:17.60549
52,55,40,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-25 07:26:17.60549
53,56,155,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-02 06:26:17.60549
54,57,159,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-28 04:26:17.60549
55,60,188,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-03 04:26:17.60549
56,62,22,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-07 07:26:17.60549
57,63,30,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-09 04:26:17.60549
58,64,31,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-07 03:26:17.60549
59,65,168,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-20 08:26:17.60549
60,66,57,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-04 08:26:17.60549
61,67,67,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-05 03:26:17.60549
62,68,41,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-23 08:26:17.60549
63,69,140,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-26 03:26:17.60549
64,70,96,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-29 07:26:17.60549
65,71,193,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-22 08:26:17.60549
66,72,133,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-28 05:26:17.60549
67,74,197,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-09 07:26:17.60549
68,76,35,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-31 05:26:17.60549
69,77,7,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-24 04:26:17.60549
70,78,104,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-05 07:26:17.60549
71,79,32,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-22 05:26:17.60549
72,80,192,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-04 05:26:17.60549
73,81,129,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-10-21 03:26:17.60549
74,82,121,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-10 05:26:17.60549
75,83,7,user,"Добрый день! Проблема все еще актуальна, не могли бы вы уточнить сроки решения?",2025-11-01 06:26:17.60549
76,84,66,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-24 05:26:17.60549
77,85,160,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-29 06:26:17.60549
78,86,51,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-09 05:26:17.60549
79,88,118,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-10-30 07:26:17.60549
80,89,84,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-27 06:26:17.60549
81,90,17,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-07 04:26:17.60549
82,91,71,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-31 03:26:17.60549
83,92,95,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-04 04:26:17.60549
84,93,90,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-05 08:26:17.60549
85,94,37,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-02 07:26:17.60549
86,96,146,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-10-18 04:26:17.60549
87,97,78,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-23 06:26:17.60549
88,98,107,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-11 03:26:17.60549
89,99,154,user,Спасибо за оперативный ответ. Дополнительная информация: ошибка возникает при выполнении определенных действий.,2025-11-09 04:26:17.60549
90,100,154,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-15 04:26:17.60549
91,103,66,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-11-04 05:26:17.60549
92,104,65,user,"Подтверждаю, что проблема решена. Благодарю за помощь!",2025-10-27 04:26:17.60549
93,105,116,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-05 06:26:17.60549
94,106,193,user,Прошу прояснить следующий вопрос по заявке. Какие дополнительные данные требуются для решения проблемы?,2025-11-11 08:26:17.60549
